term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
girl,-0.016468120509525726,-0.20949679722019646,-0.1339007453262655,-0.2963465571776401,-0.10220763746708234,0.1183775288267469,0.182606727170644,-0.012620420537070631,-0.04588744013907216,0.02567616738918549,-0.007564080087638314,-0.08302664941860981,-0.008345247596775407,0.1282389979986691,0.16645269153242576,0.042727768788020586,0.1993950108058301,0.19604638514397527,-0.2810291987911966,0.11959954937773161
was,0.07415301603887031,-0.11333602792452523,0.046059338869883656,0.08080878290735288,-0.006962403004517781,0.02094923598639553,0.060803607313424796,0.032584403293130115,0.0029807786661931734,-0.014252182664753442,-0.1607765188601552,-0.08047920340990589,0.012468796715243813,0.09706129344347558,0.031677189336679845,-0.05136118974287922,0.05725016574071001,-0.049630970451641804,0.017589182062578333,0.026079017632172567
man,0.07891607541470548,-0.03659619671420613,0.05259962776900816,-0.015807296970805518,0.02099311571944701,-0.0014923880233851383,0.03073462859329537,0.059278410812631105,-0.0359122161853697,-0.0074959977353258045,-0.07026725879027731,0.016149586864364983,0.013555488419434686,0.03189039466019219,-0.03290087776709412,-0.06782464681687755,0.062256648795137114,0.048423153563750265,0.024565797076709354,0.010664795418414849
gon,0.010410380839553373,-0.07931963765877549,0.07743242163934637,-0.020400737522191792,-0.02071672000538105,-0.010674184752438066,-0.034165768934593874,-0.006585401028186079,0.02413566674219303,-0.017014168847497235,0.06605341428788584,0.0012990149102930643,-0.05601857750477469,0.05111629123751641,-0.007316983434970857,-0.01662623415393752,-0.044080050847909,0.04042143023623087,-0.04743850829106256,-0.08584695653809471
wan,0.025224254848637016,-0.07034317059328532,0.028464801414419212,-0.10274348953676597,-0.026729158104424777,0.02683443024201998,-0.023249416911433486,-0.025877373763317835,-0.005003714027906399,-0.007845049391851655,0.04555554728819651,0.031360074929988484,-0.025901535174363194,-0.026101960736670475,0.046330408587815355,0.03624031911542902,-0.046608043434131954,0.01676612611044521,-0.023258406572705337,-0.051273161229977084
yall,0.12274836676556622,0.043397395973057036,0.11167461117162346,-0.07633215941652412,0.07138326231149417,-0.07640917027551344,-0.03141378740548767,0.028251188361056834,0.007782194262915848,0.04347619990961263,0.044570318610602316,0.10160469735139546,0.03739144482598014,-0.194060184471976,-0.16257110358594493,-0.17246349964298235,0.036857263276821095,0.2262119384771074,-0.11763419974473242,-0.14533536523884039
want,0.0027216162192081144,-0.08203107207169373,0.02503833623444067,-0.05997744237590733,-0.02018695806266138,0.018974717086730694,0.00823246418130058,0.018839717744944213,0.0047522722918108,0.03166383169609621,0.060262504379154896,0.022650015679760983,-0.009695735912177095,-0.01618438927827274,-0.026356605374862688,-0.0035991495469785972,-0.04745672305413452,0.04644092781563313,-0.0382457658329269,-0.03351101436865833
do,0.04035299197581473,-0.07017826977561725,0.01387340214271829,-0.0662563532343608,0.00014543490591908265,0.012596878890261475,0.007130412535473418,-0.010859989695919198,0.000999287794497622,0.00602517923599083,0.029520238671855548,0.028894348253632178,-0.008200806300604213,-0.025373656975419708,-0.009270940385308582,0.007270417947712951,-0.0250904442303444,0.020048767731542433,-0.014000533899481749,-0.04962438823727032
youre,0.1185214067806407,-0.06484105945340467,-0.0978383179628728,-0.08228269741875215,0.08719130942144443,0.04981784812570967,0.04945768038098608,0.05179265877606626,0.027343433276866738,-0.001179516800954808,0.04164296346942037,-0.10616971987590175,-0.004030292344497505,0.02480386555723096,0.03096335039466483,0.08539759903101597,-0.03751837429266733,-0.0859785853183128,0.0388015084298888,-0.020599409887414433
go,0.02008215190132156,-0.04700496668700812,0.025404294050091734,-0.03779499042239918,-0.0035166066235811505,0.0004325917025220522,0.005428381337261756,0.023716772722385093,-0.0039604121654954055,-0.014999813571755893,0.03250464874650747,0.028246351643381122,-0.012920843488565564,0.01888528755105165,0.02086066430395836,0.014613977458827532,-0.03157641688592051,0.015694780835613,-0.024662120504772553,-0.022320912435418394
let,0.03753184593018898,-0.06112340483408994,0.02050231730917242,-0.06079739466413465,-0.00395622531223424,0.003379680462622647,-0.03479664241659208,-0.013250748161579479,0.006297674454620816,0.017782680080520863,0.04912437690636856,0.017197612723817632,-0.023393294828225553,0.002479826705741997,0.0230050242404818,0.007613942024044071,-0.04054441985870011,0.0015957044974120663,-0.013014024947603307,-0.04670529766985357
life,0.08205635751150889,-0.09900697138179163,0.01592208543404276,0.12445468139307489,0.012115550207330586,-0.012988517739642665,-0.05848247055453559,-0.07992297363301787,-0.020779989030915103,0.02344498812183994,-0.0009314310846016693,0.11067046837285079,0.010242409531455221,-0.057554680803532654,0.07598790644736501,0.01836939239469594,0.03504054894452352,0.01765882042737704,0.05285933498285595,0.06499151243392318
say,0.03481361363693954,-0.06413576443990213,0.026210991777715915,-0.01699757097462004,0.011987836677095494,0.013190288229632356,0.022053004419799155,0.03702118688984525,0.012697870674223732,-0.01746644757468087,-0.0023717528398744248,0.0056245547136383744,0.0004189424854683793,0.020849656491558483,-0.04036414470990306,0.00342356398614857,-0.037910550245796884,-0.012959249381366188,-0.012131535239669991,-0.05731592520685436
