term_str,n,tfidf,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
hood,44.26548672566372,0.0012108989982656324,0.0012108989982656324,0.0,0.0012108989982656324,0.0012108989982656324,0.0,0.0,0.0,0.0,-0.0012108989982656324
hoot,1.25,0.00017983051424527106,0.00017983051424527106,0.0,0.00017983051424527106,0.0,0.0,0.0,0.0,0.0,-0.00017983051424527106
hope,29.612068965517242,0.0009787882885796057,0.0,0.0009787882885796057,0.0,0.0,0.0009787882885796057,0.0,0.0009787882885796057,0.0009787882885796057,0.0009787882885796057
hopeful,5.428571428571429,0.00036797615917461186,0.0,0.00036797615917461186,0.0,0.0,0.00036797615917461186,0.0,0.00036797615917461186,0.00036797615917461186,0.00036797615917461186
hopeless,2.58974358974359,0.00018435337503995645,0.0,0.0,0.0,0.00018435337503995645,0.0,0.00018435337503995645,0.0,0.0,-0.00018435337503995645
hopelessness,1.0,0.00021627735091445268,0.00021627735091445268,0.0,0.00021627735091445268,0.00021627735091445268,0.0,0.00021627735091445268,0.0,0.0,-0.00021627735091445268
horde,1.0,0.00016842878741254931,0.0,0.0,0.0,0.0,0.0,0.0,0.00016842878741254931,0.0,-0.00016842878741254931
horizon,1.7058823529411764,0.00020649340116375969,0.0,0.00020649340116375969,0.0,0.0,0.0,0.0,0.0,0.0,0.00020649340116375969
horrible,1.625,0.00013802153487776082,0.00013802153487776082,0.0,0.00013802153487776082,0.00013802153487776082,0.0,0.0,0.0,0.0,-0.00013802153487776082
horrid,1.0,8.206186339986232e-05,8.206186339986232e-05,0.0,8.206186339986232e-05,8.206186339986232e-05,0.0,8.206186339986232e-05,0.0,0.0,-8.206186339986232e-05
horrific,1.375,0.00017572851378988422,0.00017572851378988422,0.0,0.00017572851378988422,0.00017572851378988422,0.0,0.00017572851378988422,0.0,0.0,-0.00017572851378988422
horrified,1.0,0.00018284085922552255,0.0,0.0,0.0,0.00018284085922552255,0.0,0.0,0.0,0.0,-0.00018284085922552255
horrifying,1.0,7.968833669840837e-05,0.0,0.0,7.968833669840837e-05,7.968833669840837e-05,0.0,7.968833669840837e-05,0.0,0.0,-7.968833669840837e-05
horror,2.276595744680851,0.00017283162075566147,0.00017283162075566147,0.0,0.00017283162075566147,0.00017283162075566147,0.0,0.00017283162075566147,0.00017283162075566147,0.0,-0.00017283162075566147
horrors,1.2,0.00019084240332485763,0.0,0.0,0.0,0.00019084240332485763,0.0,0.00019084240332485763,0.0,0.0,-0.00019084240332485763
hospital,2.9166666666666665,0.000181335159259391,0.0,0.0,0.0,0.000181335159259391,0.0,0.000181335159259391,0.0,0.000181335159259391,0.0
hostage,1.9736842105263157,0.00018070543233154502,0.00018070543233154502,0.0,0.0,0.00018070543233154502,0.0,0.0,0.0,0.0,-0.00018070543233154502
hostile,2.0,0.00014050426822756614,0.00014050426822756614,0.0,0.00014050426822756614,0.00014050426822756614,0.0,0.0,0.0,0.0,-0.00014050426822756614
hostility,1.0,7.456697570823855e-05,7.456697570823855e-05,0.0,7.456697570823855e-05,0.0,0.0,0.0,0.0,0.0,-7.456697570823855e-05
howl,1.2307692307692308,0.00016700077219998418,0.00016700077219998418,0.0,0.00016700077219998418,0.00016700077219998418,0.0,0.00016700077219998418,0.00016700077219998418,0.0,-0.00016700077219998418
huff,1.4827586206896552,0.0001556999959200027,0.0001556999959200027,0.0,0.0001556999959200027,0.0,0.0,0.0,0.0,0.0,-0.0001556999959200027
hug,4.157303370786517,0.00027827411776903575,0.0,0.0,0.0,0.0,0.00027827411776903575,0.0,0.0,0.00027827411776903575,0.00027827411776903575
humanitarian,1.0,0.00019682692559373405,0.0,0.00019682692559373405,0.0,0.0,0.00019682692559373405,0.0,0.00019682692559373405,0.00019682692559373405,0.00019682692559373405
humanity,2.5217391304347827,0.00025604986897517486,0.0,0.0,0.0,0.0,0.00025604986897517486,0.0,0.0,0.00025604986897517486,0.00025604986897517486
humble,4.013333333333334,0.0002523092252406939,0.0,0.0,0.0002523092252406939,0.0,0.0,0.0002523092252406939,0.0,0.0,0.0
humbled,1.125,0.0002229102501540897,0.0,0.0,0.0,0.0,0.0,0.0002229102501540897,0.0,0.0,0.0002229102501540897
humbug,1.0,0.00010148237343402798,0.00010148237343402798,0.0,0.00010148237343402798,0.0,0.0,0.00010148237343402798,0.0,0.0,-0.00010148237343402798
humiliate,1.25,0.00012152128069620397,0.00012152128069620397,0.0,0.0,0.0,0.0,0.00012152128069620397,0.0,0.0,-0.00012152128069620397
humiliation,1.0,0.00013630411041986728,0.0,0.0,0.00013630411041986728,0.0,0.0,0.00013630411041986728,0.0,0.0,-0.00013630411041986728
humility,1.0,0.00015601595715333136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015601595715333136,0.00015601595715333136
humorous,1.0,0.00019878785505782255,0.0,0.0,0.0,0.0,0.00019878785505782255,0.0,0.0,0.0,0.00019878785505782255
hungry,6.666666666666667,0.000360766602595282,0.0,0.000360766602595282,0.0,0.0,0.0,0.0,0.0,0.0,-0.000360766602595282
hunter,1.6774193548387097,0.00014507601625793614,0.0,0.00014507601625793614,0.0,0.00014507601625793614,0.0,0.00014507601625793614,0.0,0.0,-0.00014507601625793614
hunting,1.4615384615384615,0.00013047434202136682,0.00013047434202136682,0.00013047434202136682,0.0,0.00013047434202136682,0.0,0.0,0.0,0.0,-0.00013047434202136682
hurrah,2.0,0.0003989893979545332,0.0,0.0,0.0,0.0,0.0003989893979545332,0.0,0.0,0.0,0.0003989893979545332
hurricane,5.275862068965517,0.00036263823820141067,0.0,0.0,0.0,0.00036263823820141067,0.0,0.0,0.0,0.0,-0.00036263823820141067
hurried,1.2,0.00016318475142535526,0.0,0.00016318475142535526,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016318475142535526
hurt,18.130434782608695,0.0007975534776514914,0.0007975534776514914,0.0,0.0,0.0007975534776514914,0.0,0.0007975534776514914,0.0,0.0,-0.0007975534776514914
hurtful,2.3333333333333335,0.00017164888012126942,0.00017164888012126942,0.0,0.00017164888012126942,0.00017164888012126942,0.0,0.00017164888012126942,0.0,0.0,-0.00017164888012126942
hurting,2.2711864406779663,0.00017308370032829843,0.00017308370032829843,0.0,0.0,0.00017308370032829843,0.0,0.00017308370032829843,0.0,0.0,-0.00017308370032829843
hut,3.2666666666666666,0.00029872644241124455,0.0,0.0,0.0,0.0,0.0,0.00029872644241124455,0.0,0.0,0.00029872644241124455
hydra,1.0,9.254403606345322e-05,0.0,0.0,0.0,9.254403606345322e-05,0.0,0.0,0.0,0.0,-9.254403606345322e-05
hymn,1.1428571428571428,0.0001928603101240878,0.0,0.0001928603101240878,0.0,0.0,0.0001928603101240878,0.0001928603101240878,0.0,0.0001928603101240878,0.0001928603101240878
